person_name,user_name,email, personal_number,birth_date,address,phone,mac_address,ip_address,iban,accessed_at,session_duration,download_speed,upload_speed,consumed_traffic,unique_id
Bartolomeu Mocanu,bartolomeumocanu,bartolomeumocanu@email.ro,3161112051398,1925-10-13,"Intrarea Diaconu Nr. 11, Murfatlar, 917130",0755 267 627,74:84:61:0b:0d:32,130.156.213.158,RO26MTRM6636463165328417,2025-04-07 14:30:10,27425,462,457,992309,c2760171-b22a-43df-8f62-22c2a3b1b878
Crenguța Ardelean,crenguțaardelean,crenguțaardelean@email.ro,4800415193382,1926-05-06,"Intrarea Ene, Valea Mare (Babeni), 583320",0241 537 322,5a:74:5c:6e:02:d8,124.64.122.248,RO57FVSD0668062872551947,2025-04-07 14:30:10,25912,694,781,298828,c4861e44-0efd-481d-9c9c-895f6b503afe
Florea Stancu,floreastancu,floreastancu@kappa.ro,3260416347587,1917-05-09,"Intrarea Cristea Nr. 727, Vicovu de Sus, 699948",0764 833 737,2a:7d:fa:a2:5a:14,63.76.97.212,RO44FOMD5684849402470621,2025-04-07 14:30:10,15399,363,316,1432953,bbe1cf39-a774-4e60-9368-f16cad9e5140
Edgar Ene,edgarene,edgarene@zzup.ro,4670125242978,1948-12-10,"Aleea Ana Voinea Nr. 91 Bl. 33  Sc. 51 Ap. 484, Alba Iulia, 129394",0239 036 866,d4:57:f7:61:2b:25,114.219.117.231,RO05CTFO4469035195945326,2025-04-07 14:30:10,11280,415,570,667403,f9497295-ee99-4f9c-aba9-84a1ecd09013
Marius Dima,mariusdima,mariusdima@email.ro,8600129202013,2000-01-17,"Drumul Tomescu Nr. 24, Tecuci, 116088",0750 867 106,5c:60:01:08:96:ef,116.114.149.234,RO70CUOM3695991671145812,2025-04-07 14:30:10,11236,836,52,472918,af2da0a6-d38d-42bd-89fb-dd8078524796
Aura Mazilescu,auramazilescu,auramazilescu@post.ro,4840713207723,1917-06-19,"Soseaua Ionescu, Roseti, 299063",0752 822 280,a6:49:55:ea:0c:9e,152.74.89.22,RO10YVDY9880169464611386,2025-04-07 14:30:10,19334,969,578,1649091,654c32da-c0e5-4e99-baef-412f7fe5e3d8
Emilia Ioniță,emiliaioniță,emiliaioniță@kappa.ro,6491027396036,2006-01-23,"Aleea Jasmina Dima Nr. 540 Bl. 64  Sc. 23 Ap. 935, Moinesti, 184738",0237 419 197,48:10:cb:c7:54:0a,130.44.92.30,RO50NGGW0491844133638784,2025-04-07 14:30:10,13360,761,28,887889,c5e92a6a-8dfc-443b-bb87-ef20b018c4d3
Aureliana Barbu,aurelianabarbu,aurelianabarbu@acasa.ro,8480210396842,1915-01-31,"Strada Stan Nr. 68, Rucar, 917135",0732 174 961,6a:bb:65:e7:a6:13,208.219.127.170,RO56KIHI8565133262179648,2025-04-07 14:30:10,28432,389,388,676532,5943fa7f-d98a-4dbc-b913-04efe7d28316
Stelian Marin,stelianmarin,stelianmarin@post.ro,7210817226053,2007-01-07,"Soseaua Albu Nr. 563 Bl. 67  Sc. 30 Ap. 474, Busteni, 846393",0243 741 921,e4:57:3f:c9:e2:82,90.80.255.127,RO94ZOAV0472611306890613,2025-04-07 14:30:10,12043,662,27,420497,c9de4f4f-4920-4655-b7b4-10ab7ed7d4ca
Luiza Nistor,luizanistor,luizanistor@post.ro,8720422149816,2023-03-20,"Strada Emilian Florea, Baile Borsa, 494713",0247 550 437,20:3d:44:f5:70:4a,64.193.71.48,RO65KCMY3097863727619958,2025-04-07 14:30:10,31444,690,678,900976,717ea36d-7096-4937-9d92-2f474f4dd7de
Malvina Toma,malvinatoma,malvinatoma@acasa.ro,4830501389512,1963-01-04,"Drumul Ababei, Odorheiu Secuiesc, 738259",0249 750 022,b6:d9:48:ea:b5:89,95.115.18.108,RO14CPRP2740620313416388,2025-04-07 14:30:10,18214,430,163,1968382,1579fb50-0bdc-446c-9799-2254045cd0b3
Rica Ardelean,ricaardelean,ricaardelean@post.ro,4070520100973,1985-05-18,"Strada Ilarie Ene, Oltenita, 132320",0711 970 292,02:97:76:5d:4d:cc,29.133.128.139,RO11IDUM4511281981420579,2025-04-07 14:30:10,17728,170,673,491982,1b890876-f083-4c94-b42a-546432347eee
Grigore Ene,grigoreene,grigoreene@gmail.com,4870224465778,1995-12-31,"Drumul Toma, Botosani, 263536",0720 458 026,52:fd:91:b2:bd:8c,12.67.24.124,RO82BRMM6762781736157715,2025-04-07 14:30:10,14088,614,613,1306523,f82400e8-4816-47c5-b70a-0dd4e1ab7e45
Eric Florea,ericflorea,ericflorea@kappa.ro,6810927233843,1921-11-24,"Strada Evanghelina Stănescu, Tulcea, 963219",0731 371 386,b8:a5:9e:b5:c2:3e,58.124.159.20,RO05FYVL2268075271182621,2025-04-07 14:30:10,25188,86,478,1837674,d1755287-11b2-48fd-a1df-d4ba0a11d808
Aristița Dinu,aristițadinu,aristițadinu@acasa.ro,6740330236622,1964-10-14,"Bulevardul Letiția Mocanu Nr. 525 Bl. 81  Sc. 71 Ap. 588, Marasesti, 224136",0762 330 987,7a:ad:d8:f8:b1:e2,88.101.79.102,RO81EBTC4626544192641061,2025-04-07 14:30:10,2150,288,622,444722,c2685817-e389-46be-8ca1-c19cce246f60
Corneliu Ababei,corneliuababei,corneliuababei@post.ro,8580505390943,1929-12-04,"Soseaua Stancu Nr. 26, Onesti, 240568",0788 922 220,e2:69:b1:ec:44:57,154.18.199.83,RO30AYZN0395560872784397,2025-04-07 14:30:10,23559,973,111,1194849,5697f5f3-6bef-4162-a3b4-e41cb0de4dd7
Lorena Suciu,lorenasuciu,lorenasuciu@kappa.ro,7670603182099,2004-08-03,"Bulevardul Florea Nr. 957 Bl. 90  Sc. 27 Ap. 722, Targoviste, 574074",0784 129 910,50:80:13:ee:63:89,204.19.27.119,RO33RIPJ5126692069274606,2025-04-07 14:30:10,9306,936,411,438810,9e318406-163c-42ed-b493-1405dc6cdd01
Romina Pop,rominapop,rominapop@post.ro,4590524338222,1929-02-15,"Soseaua Leopoldina Ionescu Nr. 354, Plosca, 866858",0724 760 513,f8:72:c8:a9:69:f1,187.136.11.153,RO60JUSZ8136785256812844,2025-04-07 14:30:10,23063,124,76,1269573,ed97342a-4ed4-4072-b1cb-1a1a9f8624d0
Nicolaie Nemeș,nicolaienemeș,nicolaienemeș@gmail.com,5430321196363,1952-12-02,"Intrarea Dochioiu Nr. 985, Titu, 914660",0766 867 324,76:5a:2d:35:3d:02,45.82.181.174,RO76QDMN5704479162679879,2025-04-07 14:30:10,15397,214,681,42243,d6d1889c-fdb4-440c-bc9b-b6b3a24a8195
Mirabela Dima,mirabeladima,mirabeladima@kappa.ro,2381214298301,1928-10-29,"Aleea Dorina Mocanu, Curtici, 789377",0747 550 423,d4:58:05:dc:01:7d,194.115.209.205,RO90QKRX5941122069979319,2025-04-07 14:30:10,16202,202,682,1891397,964a10d3-3d9b-4b66-8cbd-55a22508d35a
Melania Preda,melaniapreda,melaniapreda@post.ro,3541128454907,2016-10-14,"Strada Nistor, Ramnicu Sarat, 443091",0723 315 817,ee:51:ff:99:3d:d5,103.188.77.193,RO56JIDV6069464469886543,2025-04-07 14:30:10,28071,687,36,1312136,d66b2885-d1ec-4632-ba80-3ef7296a0f8d
Mara Dochioiu,maradochioiu,maradochioiu@post.ro,5260903218118,1989-10-06,"Intrarea Oprea, Avrig, 962545",0768 659 505,f4:a1:19:70:19:a2,76.175.101.163,RO24QQYE9640395239911976,2025-04-07 14:30:10,7303,521,223,402533,09df3a71-8150-4835-b394-f28102a1b6df
Rozalia Gheorghiu,rozaliagheorghiu,rozaliagheorghiu@acasa.ro,6210118215561,1960-05-04,"Aleea Ababei Nr. 692, Campulung, 659626",0711 668 469,4a:d2:56:65:96:26,57.40.148.70,RO29FCBS2633630035933982,2025-04-07 14:30:10,3822,315,180,913061,b0cdec11-4f8a-423b-ab52-5a40b8ba51be
Bucur Stănescu,bucurstănescu,bucurstănescu@post.ro,1681129150111,1915-07-15,"Drumul Frusina Barbu Nr. 31 Bl. 23  Sc. 53 Ap. 686, Sancraiu de Mures, 166197",0742 954 027,4a:0d:59:57:a5:8f,88.67.14.8,RO83GSGW9759326729424220,2025-04-07 14:30:10,24197,228,502,445292,289dffc6-ff5a-4782-8bbf-399c4ace721c
Alexandru Aanei,alexandruaanei,alexandruaanei@acasa.ro,7380306059892,1956-06-07,"Soseaua Aanei Nr. 17 Bl. 94  Sc. 11 Ap. 881, Turda, 903033",0241 428 296,d6:cf:c4:b9:0b:71,215.178.167.23,RO94OBQT4308539260167569,2025-04-07 14:30:10,22163,203,129,103700,e56fb6dd-b379-44ed-9727-91ff19311b9f
Vlădelina Georgescu,vlădelinageorgescu,vlădelinageorgescu@gmail.com,3421028407045,1927-03-31,"Aleea Rica Stan Nr. 713, Carei, 778220",0236 601 822,e6:58:81:a5:bb:ac,118.6.69.181,RO51TQJV9250516697161608,2025-04-07 14:30:10,32201,804,796,1985575,f31afba6-1fe4-4149-a8bb-963b6626a72e
Corneliu Dumitrescu,corneliudumitrescu,corneliudumitrescu@email.ro,2810212423333,1956-09-11,"Drumul Dobre Nr. 212, Roseti, 827795",0786 838 062,50:15:19:36:85:9a,97.38.93.247,RO38LFMD5787258025525944,2025-04-07 14:30:10,11281,688,368,1966442,f54e92e3-f682-42cb-945b-7e7684ca01d0
